AlgebraOfGraphics 0.6.18
BenchmarkTools 1.4.0
Bijectors 0.13.8
CSV 0.10.12
CairoMakie 0.11.9
CategoricalArrays 0.10.8
Chain 0.6.0
Colors 0.12.10
DataFrames 1.6.1
DifferentialEquations 7.12.0
Distributions 0.25.107
Downloads 1.6.0
FillArrays 1.9.3
ForwardDiff 0.10.36
Franklin 0.10.95
HTTP 1.10.2
LazyArrays 1.8.3
Literate 2.16.1
MCMCChains 6.0.5
NodeJS 2.0.0
PDMats 0.11.31
StatsBase 0.34.2
StatsFuns 1.3.1
Turing 0.30.5
