12×8 DataFrame
 Row │ parameters  mean       std       mcse       ess_bulk   ess_tail   rhat     ess_per_sec
     │ Symbol      Float64    Float64   Float64    Float64    Float64    Float64  Float64
─────┼────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           69.8656    5.16462   0.546748    113.993     66.7237  1.03477     1.75398
   2 │ σ            7.99661   0.458654  0.0106509  1747.94    1604.34    1.00532    26.8952
   3 │ τ[1]         5.71043   4.99362   0.351676    162.175   1569.5     1.04497     2.49535
   4 │ τ[2]         7.69597   8.56561   1.89626      48.2238    17.509   1.09288     0.742008
   5 │ βⱼ[1, 1]     0.268578  0.808133  0.0246618  1090.23    1040.52    1.0029     16.7751
   6 │ βⱼ[2, 1]    -0.779542  1.08034   0.110468    107.212    916.169   1.05003     1.64964
   7 │ βⱼ[3, 1]     0.579955  0.826939  0.0254427  1065.19    1518.4     1.01684    16.3898
   8 │ βⱼ[4, 1]     0.157492  0.825655  0.0549683   202.179    936.145   1.02096     3.11088
   9 │ βⱼ[1, 2]     0.271136  0.790404  0.022641   1251.63    1488.34    1.0416     19.2586
  10 │ βⱼ[2, 2]    -0.890555  1.01842   0.0401421   629.771   2056.04    1.00355     9.69013
  11 │ βⱼ[3, 2]     0.611532  0.860741  0.0270406  1016.66    1314.89    1.01822    15.6432
  12 │ βⱼ[4, 2]     0.12022   0.773047  0.0189612  1662.26    1455.53    1.0283     25.5768
